cidade,long,lat,alt,uf
GONGOGI,-39.46723965,-14.3237133,92.820675,BAHIA
AURELINO LEAL,-39.32199664,-14.31694945,48.172479,BAHIA
UBAITABA,-39.32254741,-14.31043637,46.80657,BAHIA
ILHÉUS,-39.04318429,-14.79332027,54.213815,BAHIA
ITACARÉ,-38.99484155,-14.27824929,10.825464,BAHIA
LUÍS EDUARDO MAGALHÃES,-45.80046441,-12.07837226,768.531308,BAHIA
CORRENTINA,-44.6410867,-13.34177182,574.456246,BAHIA
COCOS,-44.54566886,-14.17107754,629.153853,BAHIA
CORIBE,-44.45303643,-13.82784161,673.810455,BAHIA
FEIRA DA MATA,-44.28346394,-14.21056451,481.234514,BAHIA
JABORANDI,-44.46596999,-13.625934,521.784221,BAHIA
SÃO FÉLIX DO CORIBE,-44.19687256,-13.40421825,443.910916,BAHIA
SANTA MARIA DA VITÓRIA,-44.19830887,-13.39354525,457.363151,BAHIA
CANÁPOLIS,-44.20502899,-13.0759115,703.496285,BAHIA
SÃO DESIDÉRIO,-44.97409624,-12.36089549,503.585922,BAHIA
BARREIRAS,-45.00416844,-12.14492489,441.997802,BAHIA
CATOLÂNDIA,-44.85977028,-12.31600594,606.176021,BAHIA
ANGICAL,-44.69582348,-12.00668277,471,BAHIA
SANTANA,-44.0532579,-12.98075117,539.850499,BAHIA
TABOCAS DO BREJO VELHO,-44.01118907,-12.70730092,535.320716,BAHIA
BAIANÓPOLIS,-44.53609805,-12.3041247,672.202298,BAHIA
CRISTÓPOLIS,-44.4118419,-12.23145081,684.067916,BAHIA
COTEGIPE,-44.25247614,-12.02859738,475.681986,BAHIA
SERRA DO RAMALHO,-43.58073074,-13.56446599,443.789101,BAHIA
BOM JESUS DA LAPA,-43.41714164,-13.25411437,436.928875,BAHIA
SÍTIO DO MATO,-43.46644117,-13.08579271,432.964715,BAHIA
PALMAS DE MONTE ALTO,-43.17051213,-14.25735099,544.131381,BAHIA
GUANAMBI,-42.77856197,-14.22531503,522.031674,BAHIA
MATINA,-42.84293244,-13.91263601,515.40199,BAHIA
IGAPORÃ,-42.71787981,-13.76797648,783.342666,BAHIA
RIACHO DE SANTANA,-42.93834712,-13.60658814,612.355125,BAHIA
SERRA DOURADA,-43.95233726,-12.76259474,526.532491,BAHIA
BREJOLÂNDIA,-43.96566459,-12.48669334,537.202051,BAHIA
WANDERLEY,-43.88892952,-12.12015031,553.542351,BAHIA
MUQUÉM DE SÃO FRANCISCO,-43.55185992,-12.06826126,432.980002,BAHIA
PARATINGA,-43.18202508,-12.69069712,430.977346,BAHIA
BOQUIRA,-42.7301154,-12.82082283,639.376772,BAHIA
IBOTIRAMA,-43.21869626,-12.18401357,427.851968,BAHIA
OLIVEIRA DOS BREJINHOS,-42.89701977,-12.32058895,622.65387,BAHIA
RIACHÃO DAS NEVES,-44.91646977,-11.74624753,517.786021,BAHIA
FORMOSA DO RIO PRETO,-45.19099091,-11.04703249,495.545564,BAHIA
SANTA RITA DE CÁSSIA,-44.51904972,-11.00804507,441.091563,BAHIA
MANSIDÃO,-44.03648541,-10.71582896,514.985476,BAHIA
BURITIRAMA,-43.6313809,-10.71179147,487.090096,BAHIA
MORPARÁ,-43.27791341,-11.55804254,512.676915,BAHIA
BARRA,-43.14363855,-11.08895482,409.894135,BAHIA
XIQUE-XIQUE,-42.725508,-10.82497442,406.255512,BAHIA
CAMPO ALEGRE DE LOURDES,-43.01229844,-9.517154114,475.44413,BAHIA
CAETITÉ,-42.48571145,-14.06675432,811.854448,BAHIA
LAGOA REAL,-42.14571184,-14.03002899,519.155591,BAHIA
TANQUE NOVO,-42.49061251,-13.54656032,816.481033,BAHIA
BOTUPORÃ,-42.52927756,-13.38086621,645.261691,BAHIA
PARAMIRIM,-42.24064878,-13.44242666,623.387598,BAHIA
ÉRICO CARDOSO,-42.13616373,-13.42234779,726.676975,BAHIA
CATURAMA,-42.29640664,-13.32820135,589.268067,BAHIA
RIO DO PIRES,-42.28787775,-13.11866314,558.511305,BAHIA
DOM BASÍLIO,-41.77087758,-13.76332655,441.05368,BAHIA
BRUMADO,-41.6670695,-14.20543824,440.086521,BAHIA
LIVRAMENTO DE NOSSA SENHORA,-41.84038728,-13.6495009,480.548152,BAHIA
RIO DE CONTAS,-41.81879056,-13.58860779,997.901793,BAHIA
PIATÃ,-41.77062304,-13.16445687,1264.076401,BAHIA
JUSSIAPE,-41.59014201,-13.51295034,519.384274,BAHIA
ABAÍRA,-41.66160848,-13.25353189,674.223656,BAHIA
MACAÚBAS,-42.69466575,-13.02367167,679.228314,BAHIA
IBIPITANGA,-42.49122874,-12.87910614,498.783344,BAHIA
NOVO HORIZONTE,-42.16778845,-12.80199736,852.249413,BAHIA
IBITIARA,-42.21329432,-12.6455137,918.593351,BAHIA
BROTAS DE MACAÚBAS,-42.62469129,-12.00263554,813.095159,BAHIA
IPUPIARA,-42.61068885,-11.8288274,738.227969,BAHIA
BONINAL,-41.82432848,-12.71512079,943.736529,BAHIA
PALMEIRAS,-41.57733693,-12.5100711,745.290642,BAHIA
SEABRA,-41.76820124,-12.41876319,812.933073,BAHIA
IRAQUARA,-41.61795886,-12.24350102,722.102129,BAHIA
SOUTO SOARES,-41.64424839,-12.092596,823.166318,BAHIA
MULUNGU DO MORRO,-41.64380001,-11.96722002,842.483068,BAHIA
TANHAÇU,-41.25433351,-14.02550806,425.308441,BAHIA
ITUAÇU,-41.31098153,-13.80740715,539.956726,BAHIA
CONTENDAS DO SINCORÁ,-41.04631806,-13.75549683,313.050082,BAHIA
BARRA DA ESTIVA,-41.33169587,-13.62020456,1038.879569,BAHIA
IBICOARA,-41.27206581,-13.42632721,955.722083,BAHIA
IRAMAIA,-40.96958248,-13.29365119,593.21864,BAHIA
MIRANTE,-40.7735666,-14.23981792,356.202638,BAHIA
MANOEL VITORINO,-40.24201625,-14.14593221,323.749116,BAHIA
LAFAIETE COUTINHO,-40.21060588,-13.65299942,556.183517,BAHIA
MARACÁS,-40.43128755,-13.43767449,974.130267,BAHIA
ITIRUÇU,-40.1461723,-13.53239861,828.613854,BAHIA
LAJEDO DO TABOCAL,-40.2252295,-13.47252,867.690294,BAHIA
PLANALTINO,-40.36839736,-13.25660875,692.615663,BAHIA
MUCUGÊ,-41.37321301,-13.0038942,1001.2582,BAHIA
ANDARAÍ,-41.3246418,-12.80135065,416.653209,BAHIA
LENÇÓIS,-41.39403114,-12.56406312,439.080152,BAHIA
ITAETÉ,-40.96341877,-12.98203399,307.205931,BAHIA
NOVA REDENÇÃO,-41.06885951,-12.81886757,401.168881,BAHIA
IBIQUERA,-40.935421,-12.64992861,561.334088,BAHIA
WAGNER,-41.16962699,-12.28425079,491.798358,BAHIA
BONITO,-41.26840279,-11.9695725,983.311876,BAHIA
LAJEDINHO,-40.90370997,-12.36037419,646.140646,BAHIA
UTINGA,-41.09582885,-12.08331766,530.058761,BAHIA
TAPIRAMUTÁ,-40.78870033,-11.85234111,818.106387,BAHIA
MARCIONÍLIO SOUZA,-40.53452999,-13.00351037,295.832122,BAHIA
BOA VISTA DO TUPIM,-40.60574282,-12.66132219,319.067208,BAHIA
IAÇU,-40.21336523,-12.76913779,241.815348,BAHIA
ITABERABA,-40.30699492,-12.53225409,261.884059,BAHIA
RUY BARBOSA,-40.50037123,-12.28931696,366.471087,BAHIA
MUNDO NOVO,-40.47149815,-11.86472275,498.443585,BAHIA
MACAJUBA,-40.36517964,-12.14139268,380.195242,BAHIA
BAIXA GRANDE,-40.16686091,-11.95935749,365.261043,BAHIA
GENTIO DO OURO,-42.50474239,-11.42753131,1049.357668,BAHIA
UIBAÍ,-42.13379555,-11.33811456,576.993572,BAHIA
ITAGUAÇU DA BAHIA,-42.40115712,-11.00872221,439.328263,BAHIA
CENTRAL,-42.11234898,-11.13798858,705.724131,BAHIA
BARRA DO MENDES,-42.05912842,-11.80882828,722.080571,BAHIA
BARRO ALTO,-41.91209606,-11.76106392,701.39266,BAHIA
IBIPEBA,-42.01124844,-11.63752644,699.967861,BAHIA
IBITITÁ,-41.97515215,-11.55277072,786.1015,BAHIA
CANARANA,-41.76549223,-11.68758331,708.193661,BAHIA
PRESIDENTE DUTRA,-41.9909309,-11.29650407,651.266467,BAHIA
LAPÃO,-41.83190865,-11.38013905,774.229755,BAHIA
IRECÊ,-41.85886048,-11.30337962,725.188403,BAHIA
SÃO GABRIEL,-41.8742692,-11.22670733,684.740136,BAHIA
CAFARNAUM,-41.47222151,-11.69135622,764.333748,BAHIA
JOÃO DOURADO,-41.65998918,-11.34640522,811.309392,BAHIA
AMÉRICA DOURADA,-41.43716328,-11.44964586,688.068958,BAHIA
JUSSARA,-41.97973193,-11.05455495,626.761252,BAHIA
PILÃO ARCADO,-42.48475676,-9.997771056,407.651639,BAHIA
REMANSO,-42.07966754,-9.623906789,400.274456,BAHIA
SENTO SÉ,-41.89099692,-9.740379804,398.419534,BAHIA
MORRO DO CHAPÉU,-41.15909651,-11.55012611,1014.780276,BAHIA
VÁRZEA NOVA,-40.94584593,-11.2572312,724.353779,BAHIA
UMBURANAS,-41.33291413,-10.72927122,739.24521,BAHIA
OUROLÂNDIA,-41.08181173,-10.96461765,556.011338,BAHIA
PIRITIBA,-40.55132771,-11.737234,538.286933,BAHIA
MIGUEL CALMON,-40.59606961,-11.42834421,545.773667,BAHIA
VÁRZEA DO POÇO,-40.3189182,-11.52397953,468.544858,BAHIA
MAIRI,-40.14978252,-11.71111062,461.446322,BAHIA
VÁRZEA DA ROÇA,-40.14063708,-11.59898626,455.815728,BAHIA
SERROLÂNDIA,-40.29990522,-11.4160319,465.338034,BAHIA
JACOBINA,-40.51301763,-11.18506216,462.045193,BAHIA
MIRANGABA,-40.5747927,-10.95611728,808.591761,BAHIA
CAÉM,-40.43731194,-11.09309152,485.381962,BAHIA
SAÚDE,-40.41855074,-10.94110517,539.13077,BAHIA
